Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.54,0.53,0.47,0.5
BaggingClassifier,0.53,0.52,0.33,0.41
BernoulliNB,0.46,0.44,0.38,0.4
CalibratedClassifierCV,0.51,0.5,0.18,0.27
DecisionTreeClassifier,0.46,0.45,0.46,0.45
DummyClassifier,0.51,0.0,0.0,0.0
ExtraTreeClassifier,0.51,0.49,0.5,0.5
ExtraTreesClassifier,0.53,0.51,0.49,0.5
GaussianNB,0.5,0.49,0.5,0.49
KNeighborsClassifier,0.49,0.46,0.36,0.41
LinearSVC,0.47,0.45,0.4,0.42
LogisticRegression,0.47,0.45,0.4,0.43
NearestCentroid,0.45,0.44,0.53,0.48
NuSVC,0.53,0.52,0.39,0.44
PassiveAggressiveClassifier,0.46,0.44,0.4,0.42
Perceptron,0.5,0.49,0.47,0.48
QuadraticDiscriminantAnalysis,0.43,0.42,0.46,0.44
RandomForestClassifier,0.45,0.43,0.38,0.4
RidgeClassifier,0.47,0.45,0.4,0.42
RidgeClassifierCV,0.47,0.45,0.4,0.43
SGDClassifier,0.51,0.5,0.75,0.6
SVC,0.45,0.42,0.38,0.4
XGBClassifier,0.45,0.43,0.4,0.41
LGBMClassifier,0.45,0.42,0.35,0.38
