Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.43,0.42,0.43,0.42
BaggingClassifier,0.51,0.5,0.38,0.43
BernoulliNB,0.46,0.44,0.38,0.4
CalibratedClassifierCV,0.55,0.57,0.29,0.39
DecisionTreeClassifier,0.48,0.47,0.51,0.49
DummyClassifier,0.51,0.0,0.0,0.0
ExtraTreeClassifier,0.43,0.4,0.33,0.36
ExtraTreesClassifier,0.46,0.43,0.36,0.39
GaussianNB,0.42,0.4,0.38,0.39
KNeighborsClassifier,0.46,0.44,0.39,0.41
LinearSVC,0.43,0.41,0.4,0.41
LogisticRegression,0.43,0.41,0.4,0.41
NearestCentroid,0.45,0.44,0.49,0.46
NuSVC,0.47,0.46,0.49,0.47
PassiveAggressiveClassifier,0.43,0.41,0.36,0.38
Perceptron,0.53,0.53,0.36,0.43
QuadraticDiscriminantAnalysis,0.43,0.4,0.36,0.38
RandomForestClassifier,0.47,0.45,0.4,0.43
RidgeClassifier,0.43,0.41,0.4,0.41
RidgeClassifierCV,0.43,0.41,0.4,0.41
SGDClassifier,0.49,0.47,0.39,0.43
SVC,0.39,0.34,0.26,0.3
XGBClassifier,0.49,0.48,0.5,0.49
LGBMClassifier,0.47,0.46,0.47,0.47
