Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.39,0.38,0.4,0.39
BaggingClassifier,0.41,0.35,0.26,0.3
BernoulliNB,0.43,0.4,0.36,0.38
CalibratedClassifierCV,0.59,0.62,0.39,0.48
DecisionTreeClassifier,0.49,0.48,0.53,0.5
DummyClassifier,0.51,0.0,0.0,0.0
ExtraTreeClassifier,0.47,0.46,0.46,0.46
ExtraTreesClassifier,0.48,0.46,0.39,0.42
GaussianNB,0.49,0.47,0.38,0.42
KNeighborsClassifier,0.37,0.33,0.29,0.31
LinearSVC,0.44,0.43,0.49,0.46
LogisticRegression,0.45,0.44,0.51,0.47
NearestCentroid,0.45,0.43,0.42,0.42
NuSVC,0.36,0.36,0.38,0.36
PassiveAggressiveClassifier,0.44,0.43,0.46,0.44
Perceptron,0.45,0.43,0.42,0.42
QuadraticDiscriminantAnalysis,0.32,0.3,0.29,0.3
RandomForestClassifier,0.45,0.42,0.36,0.39
RidgeClassifier,0.45,0.45,0.51,0.48
RidgeClassifierCV,0.43,0.43,0.49,0.45
SGDClassifier,0.45,0.43,0.38,0.4
SVC,0.43,0.42,0.42,0.42
XGBClassifier,0.36,0.34,0.33,0.34
LGBMClassifier,0.41,0.39,0.38,0.38
