,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,http://mouse.owl#MA_0000470,http://human.owl#NCI_C32742,http://mouse.owl#MA_0000470-http://human.owl#NCI_C32742,True,-0.062251538,0.08392181,-0.04392674,0.07179802,0.05688779,-0.032404505,0.018123582,0.01828749,-0.13909133,0.102366075,0.08911714,-0.020317711,0.0469623,0.0055955704,0.037215307,0.028882053,0.14771943,-0.09875947,-0.118812054,-0.025533749
1,http://mouse.owl#MA_0001402,http://human.owl#NCI_C52766,http://mouse.owl#MA_0001402-http://human.owl#NCI_C52766,True,0.00411506,0.03363061,0.08131611,-0.028175274,-0.014854686,-0.08067754,0.066323906,0.14409365,-0.056336746,0.05935072,0.026435431,-0.04252243,0.04314309,-0.045729343,0.14145823,0.0138242,0.13895571,-0.05036595,-0.08056103,-0.02238232
2,http://mouse.owl#MA_0001162,http://human.owl#NCI_C52746,http://mouse.owl#MA_0001162-http://human.owl#NCI_C52746,True,0.01847221,-0.004117769,0.033877574,0.061746977,0.0074392147,-0.02594692,-0.02510922,0.095962785,-0.06781841,-0.028161507,0.04362829,0.011704825,0.10066045,-0.03182561,0.073732965,0.012679431,0.030381577,-0.029644847,-0.011520188,-0.005600065
3,http://mouse.owl#MA_0001134,http://human.owl#NCI_C33859,http://mouse.owl#MA_0001134-http://human.owl#NCI_C33859,True,-0.115382925,0.028181296,-0.047888137,0.032105714,-0.0003544381,-0.025457636,0.05752527,0.091851026,-0.0664309,0.11765206,0.06707726,-0.09919202,-0.017675059,-0.07366291,0.08354018,-0.048095565,0.13604173,-0.16599475,-0.13695964,0.07074414
4,http://mouse.owl#MA_0000075,http://human.owl#NCI_C12868,http://mouse.owl#MA_0000075-http://human.owl#NCI_C12868,True,-0.07161783,0.026564382,0.013425212,-0.023138156,0.022623638,-0.01546593,0.02136156,0.14640635,-0.06472193,0.106524296,0.06113465,-0.08628723,0.050370898,-0.06018532,0.10233945,-0.023853987,0.12453424,-0.10795755,-0.052062776,-0.0060611814
5,http://mouse.owl#MA_0002069,http://human.owl#NCI_C12839,http://mouse.owl#MA_0002069-http://human.owl#NCI_C12839,True,-0.0024391687,0.057122752,0.04320681,-0.057262402,-0.031655863,-0.072372675,0.04917107,0.13817485,-0.06549559,0.05327383,0.004987688,-0.006646229,0.134276,-0.09074155,0.12752497,0.050030433,0.06041217,-0.09050103,-0.036565,0.052222323
6,http://mouse.owl#MA_0000322,http://human.owl#NCI_C32461,http://mouse.owl#MA_0000322-http://human.owl#NCI_C32461,True,0.0049530026,0.02096922,-0.04273664,0.010402792,0.07947451,-0.0021543987,0.05279702,0.06369697,-0.08848807,0.032563772,0.052605588,-0.037381664,0.01135139,0.043856744,-0.010084432,-0.0028054789,0.06971572,0.013312909,-0.013937607,-0.09267482
7,http://mouse.owl#MA_0000392,http://human.owl#NCI_C12311,http://mouse.owl#MA_0000392-http://human.owl#NCI_C12311,True,-0.008267615,-0.008362366,-0.01283994,0.0306032,-0.015907027,-0.053393625,0.086252585,0.16837145,-0.14693269,0.03932118,-0.068682194,-0.06093307,0.15590246,-0.09166298,0.116857566,0.037077654,0.26086828,-0.033741623,-0.06419499,0.039456397
8,http://mouse.owl#MA_0000716,http://human.owl#NCI_C49319,http://mouse.owl#MA_0000716-http://human.owl#NCI_C49319,True,0.028518794,0.06669145,0.028557744,0.01030533,0.032176435,0.03219281,-0.05619456,0.09765135,-0.0011481158,0.015214937,0.0274541,-0.07672843,0.025952028,-0.04899249,-0.006997563,-0.0020704102,0.063405745,0.023789387,-0.036581717,-0.07518543
9,http://mouse.owl#MA_0000744,http://human.owl#NCI_C49757,http://mouse.owl#MA_0000744-http://human.owl#NCI_C49757,True,-0.064957164,-0.015219351,-0.05441443,-0.0012574568,0.0063770562,0.031313695,0.027465632,0.11114219,-0.116588786,0.0524953,-0.07628944,-0.077278614,0.00043672754,-0.066369765,0.05309834,0.06950465,0.20360589,-0.07026454,0.0017870413,0.016327797
10,http://mouse.owl#MA_0001039,http://human.owl#NCI_C12899,http://mouse.owl#MA_0001039-http://human.owl#NCI_C12899,True,0.038846873,0.078718245,-0.00074670976,-0.0021254714,0.02696031,-0.033376906,-0.016681546,0.10711186,-0.041956104,0.01636256,0.049239367,-0.06314217,0.071729645,0.016402751,0.0811435,0.099168226,0.1674224,-0.11430808,-0.08168841,-0.03315422
11,http://mouse.owl#MA_0000734,http://human.owl#NCI_C49600,http://mouse.owl#MA_0000734-http://human.owl#NCI_C49600,True,0.07016119,0.12393449,0.045930352,0.009081949,-0.013680652,-0.04832952,-0.03868932,0.069434986,-0.07843539,0.026943162,0.007730143,-0.060019992,0.03547929,0.02548816,0.09661789,-0.011586394,0.07503648,-0.09344899,-0.11797166,0.0055478904
12,http://mouse.owl#MA_0002226,http://human.owl#NCI_C33680,http://mouse.owl#MA_0002226-http://human.owl#NCI_C33680,True,-0.0008082818,0.02311556,-0.013270619,0.041257422,0.10799484,0.013469232,0.017127782,0.024619233,-0.01914112,0.056191072,0.027317131,-0.04131027,0.022371782,-0.030477664,-0.009319723,-4.4103712e-05,0.038356483,0.037128974,-0.016359322,-0.021025684
13,http://mouse.owl#MA_0000334,http://human.owl#NCI_C12381,http://mouse.owl#MA_0000334-http://human.owl#NCI_C12381,True,-0.0208102,0.11335355,-0.01331903,0.0069820024,0.087264724,-0.063023314,0.060957793,0.16805348,-0.035926584,0.07088858,0.07417927,-0.13568777,0.048234068,-0.017112363,0.072875455,-0.06157068,0.12706311,-0.076583266,-0.117819026,0.03295993
14,http://mouse.owl#MA_0002098,http://human.owl#NCI_C53041,http://mouse.owl#MA_0002098-http://human.owl#NCI_C53041,True,-0.035816308,0.102231085,-0.0096230805,-0.004900839,-0.003215997,0.023739953,0.0051158057,0.07897965,-0.02883603,-0.012713052,-0.017000508,0.0071045775,-0.0117916195,-0.026490606,0.075723335,0.016452791,0.12389503,0.018218555,-0.038658813,-0.022596424
