Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.53,0.54,0.47,0.5
BaggingClassifier,0.53,0.54,0.41,0.47
BernoulliNB,0.51,0.51,0.53,0.52
CalibratedClassifierCV,0.55,0.55,0.56,0.55
DecisionTreeClassifier,0.5,0.5,0.51,0.5
DummyClassifier,0.5,0.0,0.0,0.0
ExtraTreeClassifier,0.52,0.52,0.55,0.53
ExtraTreesClassifier,0.52,0.52,0.47,0.49
GaussianNB,0.51,0.52,0.2,0.29
KNeighborsClassifier,0.44,0.44,0.43,0.44
LinearSVC,0.45,0.45,0.44,0.45
LogisticRegression,0.45,0.45,0.44,0.45
NearestCentroid,0.46,0.45,0.36,0.4
NuSVC,0.46,0.46,0.47,0.47
PassiveAggressiveClassifier,0.49,0.49,0.44,0.46
Perceptron,0.52,0.52,0.51,0.51
QuadraticDiscriminantAnalysis,0.49,0.49,0.46,0.47
RandomForestClassifier,0.53,0.53,0.47,0.5
RidgeClassifier,0.45,0.45,0.44,0.45
RidgeClassifierCV,0.45,0.45,0.44,0.45
SGDClassifier,0.48,0.47,0.42,0.45
SVC,0.52,0.52,0.45,0.49
XGBClassifier,0.51,0.51,0.5,0.5
LGBMClassifier,0.52,0.52,0.51,0.51
