Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.41,0.39,0.39,0.39
BaggingClassifier,0.43,0.38,0.29,0.33
BernoulliNB,0.45,0.44,0.49,0.46
CalibratedClassifierCV,0.58,0.58,0.5,0.54
DecisionTreeClassifier,0.49,0.48,0.42,0.44
DummyClassifier,0.51,0.0,0.0,0.0
ExtraTreeClassifier,0.43,0.41,0.4,0.41
ExtraTreesClassifier,0.39,0.34,0.29,0.32
GaussianNB,0.43,0.42,0.42,0.42
KNeighborsClassifier,0.41,0.4,0.43,0.41
LinearSVC,0.43,0.4,0.36,0.38
LogisticRegression,0.43,0.41,0.38,0.39
NearestCentroid,0.5,0.49,0.61,0.54
NuSVC,0.38,0.36,0.35,0.35
PassiveAggressiveClassifier,0.47,0.46,0.53,0.49
Perceptron,0.44,0.41,0.33,0.37
QuadraticDiscriminantAnalysis,0.37,0.34,0.32,0.33
RandomForestClassifier,0.42,0.39,0.36,0.38
RidgeClassifier,0.43,0.41,0.39,0.4
RidgeClassifierCV,0.43,0.41,0.39,0.4
SGDClassifier,0.42,0.41,0.44,0.43
SVC,0.41,0.36,0.28,0.31
XGBClassifier,0.41,0.37,0.31,0.33
LGBMClassifier,0.4,0.36,0.29,0.32
