,source_id,target_id,pair_id,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
117,http://data.doremus.org/expression/7f68cbf5-1896-3b68-9a3b-6a0148d6c2e6,http://data.doremus.org/expression/7c6d3167-48cc-3c4b-bfe5-60d691887255,http://data.doremus.org/expression/7f68cbf5-1896-3b68-9a3b-6a0148d6c2e6-http://data.doremus.org/expression/7c6d3167-48cc-3c4b-bfe5-60d691887255,True,-0.08170923590660095,-0.09527309238910675,0.1752791404724121,-0.043110355734825134,0.014828900806605816,0.05691521614789963,0.11219684779644012,0.021299738436937332,-0.12844744324684143,0.034398335963487625,0.19300976395606995,0.0755215510725975,-0.04345688596367836,-0.15417245030403137,-0.035035647451877594,-0.046696074306964874,0.04303189739584923,0.025369208306074142,-0.05965796113014221,-0.0633138120174408,-0.0006867460906505585,-0.04241330921649933,0.07335450500249863,0.19277340173721313,0.0807565450668335,0.0822814404964447,0.11709994077682495,0.052023615688085556,-0.04519293084740639,-0.24412743747234344
225,http://data.doremus.org/expression/81be0098-9f87-3e6e-89be-3e0321a6ef87,http://data.doremus.org/expression/221119ce-c21f-3173-8ddb-f1811053a4c4,http://data.doremus.org/expression/81be0098-9f87-3e6e-89be-3e0321a6ef87-http://data.doremus.org/expression/221119ce-c21f-3173-8ddb-f1811053a4c4,True,-0.14932994544506073,-0.0935683622956276,0.16486379504203796,-0.03492748364806175,-0.024663612246513367,0.058873917907476425,0.11365709453821182,0.019334543496370316,-0.20938903093338013,0.010793227702379227,0.19402307271957397,0.05240214616060257,-0.019124019891023636,-0.1952320784330368,-0.0011451696045696735,-0.16938017308712006,0.12461793422698975,-0.07006090134382248,-0.09032220393419266,0.009348621591925621,0.03858626261353493,0.01467613410204649,0.01504190918058157,0.18662136793136597,0.10262003540992737,0.05823519825935364,0.12933512032032013,0.053410887718200684,-0.031733520328998566,-0.28354546427726746
150,http://data.doremus.org/expression/776fee4a-c0fe-3399-ae18-5fcc3aaf4b8b,http://data.doremus.org/expression/7b21072c-fbcb-3895-b12e-1f7b6d3880af,http://data.doremus.org/expression/776fee4a-c0fe-3399-ae18-5fcc3aaf4b8b-http://data.doremus.org/expression/7b21072c-fbcb-3895-b12e-1f7b6d3880af,True,-0.10919054597616196,-0.09462720900774002,0.2746042311191559,-0.010075826197862625,-0.05224505439400673,0.13127568364143372,0.12321209907531738,0.06942442059516907,-0.21632930636405945,0.10132065415382385,0.2702375054359436,0.08596038073301315,-0.07830873131752014,-0.26779016852378845,0.019732968881726265,-0.20832610130310059,0.09450390934944153,-0.02466593123972416,-0.09270747005939484,-0.04173632711172104,0.03251679614186287,-0.05130182206630707,-0.020948128774762154,0.22131851315498352,0.18921847641468048,0.08058081567287445,0.1617097556591034,0.07938672602176666,0.022287294268608093,-0.314438134431839
5,http://data.doremus.org/expression/53adc580-b3fb-3c42-955e-28ecb8cb3741,http://data.doremus.org/expression/7e29857f-ab2a-3d9a-9144-31100473b89b,http://data.doremus.org/expression/53adc580-b3fb-3c42-955e-28ecb8cb3741-http://data.doremus.org/expression/7e29857f-ab2a-3d9a-9144-31100473b89b,True,-0.03566090762615204,-0.06987154483795166,0.1363450288772583,-0.00728994607925415,-0.002682069316506386,0.05302803963422775,0.10995633900165558,0.01662333309650421,-0.13852760195732117,0.07220643758773804,0.06839698553085327,0.021868661046028137,-0.007572084665298462,-0.14810791611671448,-0.011834867298603058,-0.050940100103616714,0.08902661502361298,-0.011360335163772106,-0.1063949465751648,0.002621998079121113,-0.0036096028052270412,-0.01819026470184326,0.05382804572582245,0.13911443948745728,0.05622212588787079,0.015100945718586445,0.08300742506980896,0.06734922528266907,-0.07466265559196472,-0.16626597940921783
56,http://data.doremus.org/expression/bc3353d6-7a66-3ea8-a081-f9a6ba38f312,http://data.doremus.org/expression/28627b86-46b2-3d05-a2c6-d3347dbc8b4a,http://data.doremus.org/expression/bc3353d6-7a66-3ea8-a081-f9a6ba38f312-http://data.doremus.org/expression/28627b86-46b2-3d05-a2c6-d3347dbc8b4a,True,-0.09047497808933258,-0.12192918360233307,0.2319556176662445,0.014685149304568768,-0.0035502053797245026,0.10352817177772522,0.1161409243941307,0.037477701902389526,-0.23203833401203156,0.05509289726614952,0.13683614134788513,0.08676232397556305,-0.05662890523672104,-0.15766987204551697,0.018144521862268448,-0.15217353403568268,0.04512926936149597,-0.006655451375991106,-0.06323665380477905,-0.060867782682180405,0.05949772149324417,0.0007442396599799395,0.07128779590129852,0.1548345685005188,0.059827327728271484,0.02154184877872467,0.16869333386421204,0.011192025616765022,0.026123886927962303,-0.29001569747924805
228,http://data.doremus.org/expression/60a62d99-51fd-3b0b-ac92-a6c617f5d68b,http://data.doremus.org/expression/38e87596-a073-387c-b82e-a985a924b4c8,http://data.doremus.org/expression/60a62d99-51fd-3b0b-ac92-a6c617f5d68b-http://data.doremus.org/expression/38e87596-a073-387c-b82e-a985a924b4c8,True,-0.047763872891664505,-0.07820308953523636,0.14332790672779083,-0.01205440517514944,0.020305298268795013,0.06794895976781845,0.1404179036617279,0.10409871488809586,-0.17160850763320923,0.029367411509156227,0.11160536110401154,0.09524710476398468,-0.06434226036071777,-0.1713985651731491,-0.045692142099142075,-0.10105957835912704,0.10870209336280823,-0.015724634751677513,-0.0353236049413681,-0.016197573393583298,0.01418871060013771,0.01648065820336342,0.0046650730073452,0.09305775165557861,0.11180540919303894,0.055628031492233276,0.17420616745948792,0.06585069000720978,0.005311871878802776,-0.18152981996536255
143,http://data.doremus.org/expression/08c8df71-86c4-318f-a21c-89f092564c4d,http://data.doremus.org/expression/7b963f48-8c1d-3cd0-8b9b-20ecbeb4c677,http://data.doremus.org/expression/08c8df71-86c4-318f-a21c-89f092564c4d-http://data.doremus.org/expression/7b963f48-8c1d-3cd0-8b9b-20ecbeb4c677,True,-0.10930872708559036,-0.11888514459133148,0.21587713062763214,0.009246496483683586,0.019609520211815834,0.08161783218383789,0.06994181871414185,0.005481724161654711,-0.1684064269065857,0.04438561946153641,0.14072367548942566,0.051494620740413666,-0.01550421305000782,-0.21092289686203003,-0.04303981363773346,-0.15359163284301758,0.12249741703271866,0.008795341476798058,-0.06400588899850845,0.0005988562479615211,0.03663115203380585,0.015691205859184265,0.07094656676054001,0.1718796193599701,0.12041674554347992,0.08363766968250275,0.1181250810623169,0.06803914904594421,-0.04500065743923187,-0.23169071972370148
96,http://data.doremus.org/expression/61f04487-480f-3767-8456-7b5229f0158b,http://data.doremus.org/expression/f4926502-03b3-3a2b-8d40-6626838547e0,http://data.doremus.org/expression/61f04487-480f-3767-8456-7b5229f0158b-http://data.doremus.org/expression/f4926502-03b3-3a2b-8d40-6626838547e0,True,-0.08146800100803375,-0.09929221123456955,0.15377995371818542,0.05318651720881462,-0.012310233898460865,0.05125484615564346,0.10506846010684967,0.005868394859135151,-0.13531894981861115,0.026139721274375916,0.10074189305305481,0.09844408184289932,-0.06787113845348358,-0.09138086438179016,-0.003336885944008827,-0.08992739021778107,0.08936141431331635,-0.037915512919425964,-0.06508185714483261,-0.03086274489760399,0.00478878989815712,-0.0509573370218277,0.04836719483137131,0.12849821150302887,0.11122556030750275,0.054567284882068634,0.09016311913728714,-0.0010654887882992625,-0.03586462885141373,-0.21407905220985413
65,http://data.doremus.org/expression/a1ec0b9a-3af1-3b69-9026-b0be64565643,http://data.doremus.org/expression/fec11761-45f9-37f3-9a51-03e14a8f07ef,http://data.doremus.org/expression/a1ec0b9a-3af1-3b69-9026-b0be64565643-http://data.doremus.org/expression/fec11761-45f9-37f3-9a51-03e14a8f07ef,True,-0.14893250167369843,-0.08825986087322235,0.1448194682598114,0.06935518234968185,0.037548113614320755,0.08687637001276016,0.12688525021076202,0.04168413206934929,-0.15019986033439636,0.042367834597826004,0.14705514907836914,0.031645387411117554,-0.022036438807845116,-0.2151995748281479,-0.010133912786841393,-0.10201610624790192,0.075926274061203,-0.055350981652736664,-0.09670349955558777,-0.007507135160267353,0.021520793437957764,-0.02859698235988617,0.017841437831521034,0.15641599893569946,0.10802636295557022,0.051626287400722504,0.13325193524360657,0.059306010603904724,-0.024661261588335037,-0.22463148832321167
175,http://data.doremus.org/expression/dc548e32-a200-3d08-9371-0cc7be56b5fb,http://data.doremus.org/expression/6ba08ed7-94cd-370b-8f32-c1a99785dc2d,http://data.doremus.org/expression/dc548e32-a200-3d08-9371-0cc7be56b5fb-http://data.doremus.org/expression/6ba08ed7-94cd-370b-8f32-c1a99785dc2d,True,-0.09520024806261063,-0.06151735037565231,0.14304833114147186,0.03306964784860611,-0.0070916274562478065,0.09678472578525543,0.09727796167135239,-0.009792697615921497,-0.21251097321510315,0.06457407772541046,0.1452435851097107,0.11507359147071838,0.0014841323718428612,-0.18736349046230316,-0.014230145141482353,-0.11387832462787628,0.07021171599626541,-0.02385205216705799,-0.07093571871519089,-0.016917383298277855,0.011887259781360626,0.001513335038907826,0.0037272702902555466,0.11622850596904755,0.09573490172624588,0.04608369991183281,0.15728624165058136,0.05611461400985718,-0.06758907437324524,-0.22486156225204468
