Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.48,0.48,0.51,0.5
BaggingClassifier,0.5,0.5,0.39,0.44
BernoulliNB,0.5,0.5,0.56,0.53
CalibratedClassifierCV,0.53,0.53,0.5,0.52
DecisionTreeClassifier,0.49,0.49,0.49,0.49
DummyClassifier,0.5,0.0,0.0,0.0
ExtraTreeClassifier,0.51,0.51,0.56,0.54
ExtraTreesClassifier,0.52,0.52,0.51,0.51
GaussianNB,0.51,0.52,0.31,0.39
KNeighborsClassifier,0.46,0.46,0.41,0.44
LinearSVC,0.48,0.48,0.5,0.49
LogisticRegression,0.47,0.48,0.49,0.48
NearestCentroid,0.49,0.49,0.59,0.54
NuSVC,0.49,0.49,0.48,0.48
PassiveAggressiveClassifier,0.51,0.51,0.64,0.56
Perceptron,0.49,0.49,0.55,0.52
QuadraticDiscriminantAnalysis,0.46,0.47,0.47,0.47
RandomForestClassifier,0.51,0.51,0.52,0.52
RidgeClassifier,0.47,0.48,0.49,0.48
RidgeClassifierCV,0.47,0.48,0.49,0.48
SGDClassifier,0.49,0.49,0.52,0.5
SVC,0.52,0.52,0.6,0.56
XGBClassifier,0.49,0.49,0.52,0.51
LGBMClassifier,0.48,0.48,0.51,0.49
