Model,Accuracy,Precision,Recall,F1-score
AdaBoostClassifier,0.51,0.51,0.51,0.51
BaggingClassifier,0.52,0.52,0.41,0.46
BernoulliNB,0.53,0.52,0.58,0.55
CalibratedClassifierCV,0.51,0.51,0.48,0.5
DecisionTreeClassifier,0.52,0.52,0.51,0.51
DummyClassifier,0.5,0.0,0.0,0.0
ExtraTreeClassifier,0.48,0.48,0.5,0.49
ExtraTreesClassifier,0.51,0.52,0.45,0.48
GaussianNB,0.54,0.58,0.26,0.36
KNeighborsClassifier,0.49,0.49,0.47,0.48
LinearSVC,0.5,0.5,0.53,0.51
LogisticRegression,0.49,0.49,0.51,0.5
NearestCentroid,0.53,0.53,0.58,0.55
NuSVC,0.5,0.5,0.51,0.51
PassiveAggressiveClassifier,0.5,0.5,0.4,0.45
Perceptron,0.5,0.5,0.41,0.45
QuadraticDiscriminantAnalysis,0.49,0.49,0.49,0.49
RandomForestClassifier,0.49,0.49,0.49,0.49
RidgeClassifier,0.49,0.49,0.51,0.5
RidgeClassifierCV,0.49,0.49,0.51,0.5
SGDClassifier,0.51,0.51,0.36,0.42
SVC,0.51,0.51,0.49,0.5
XGBClassifier,0.53,0.53,0.54,0.53
LGBMClassifier,0.5,0.5,0.54,0.52
